Class,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AllClasses,65,16,56,484,126,51,24,17,215,81,49,17,132,64,29,22,74,100,125,10,43,59,87,21,19,131,15,27,21,100,23,36,172,53,41,33,166,17,70,6,64,349,23,159,14,82,90,13,1,
BodyAttack,23,1,12,51,14,4,1,4,39,22,10,12,32,23,2,0,15,14,36,3,8,3,13,6,8,22,2,6,1,16,6,8,28,3,0,7,35,3,21,0,29,81,10,52,4,15,17,2,1,
BodyCombat,27,4,33,280,72,16,9,12,119,46,15,12,51,14,5,1,33,45,65,6,23,8,32,10,7,50,2,11,14,62,14,24,71,16,9,16,99,12,41,1,30,205,19,103,5,40,35,6,1,
BodyPump,53,13,53,288,118,50,23,17,154,78,48,16,119,58,20,21,56,97,117,10,42,53,85,18,14,124,8,26,20,99,23,35,161,52,36,0,161,17,65,4,61,318,22,151,13,10,85,13,1,
BodyStep,16,4,10,9,12,4,1,3,8,29,8,7,21,8,3,0,12,9,29,0,10,5,15,2,2,21,2,3,8,12,4,4,17,2,0,0,41,2,22,0,22,61,7,55,4,11,12,1,1,
Sprint,20,4,1,111,25,0,0,7,47,17,6,1,35,2,2,0,20,11,42,1,7,3,30,4,11,23,2,2,1,27,0,8,24,11,0,2,31,5,7,1,16,81,5,42,3,16,14,1,1,
